"","Total"
"teaching",1056
"writing",934
"literature",625
"research",513
"phd",445
"tenure",441
"studies",417
"track",371
"experience",333
"program",321
"composition",311
"opportunity",311
"teach",290
"equal",283
"letters",267
"rhetoric",263
"year",259
"creative",252
"american",245
"information",244
"one",243
"candidate",239
"curriculum",239
"students",227
"full",224
"begin",220
"professional",219
"successful",219
"time",213
"invites",211
"commitment",210
"new",209
"chair",208
"strong",207
"online",203
"action",202
"diversity",202
"affirmative",196
"excellence",195
"level",192
"submit",186
"also",185
"expertise",184
"service",181
"women",181
"recommendation",180
"including",179
"load",178
"arts",177
"two",175
