"","game"
"accolades",0.58
"bentleys",0.58
"coresearch",0.58
"debt",0.58
"emac",0.58
"empac",0.58
"furnish",0.58
"garnering",0.58
"gsas",0.58
"hci",0.58
"humancomputer",0.58
"impacts",0.58
"juried",0.58
"kimberley",0.58
"legacy",0.58
"momentous",0.58
"osburk",0.58
"osburn",0.58
"reacting",0.58
"replacing",0.58
"rpi",0.58
"sage",0.58
"simulations",0.58
"straddles",0.58
"suburb",0.58
"toledo",0.58
"traverses",0.58
"troy",0.58
"adrian",0.57
"midwest",0.52
"rensselaer",0.52
"attn",0.41
"bentley",0.41
"personalized",0.41
"pleasant",0.41
"recognition",0.41
"sports",0.41
"varsity",0.41
"developed",0.34
"storytelling",0.34
"cambridge",0.33
"distribution",0.33
"mediated",0.33
"technologically",0.33
"proof",0.3
"finalist",0.29
"newly",0.29
"venues",0.29
"baccalaureate",0.27
"cognitive",0.25
